Info[2023-11-4 9:26:6]CELLLog::setLogPath success,<clientLog.txt,w>
Debug[2023-11-4 9:26:6]thread<1>,start
Debug[2023-11-4 9:26:6]thread<2>,start
Debug[2023-11-4 9:26:6]thread<3>,start
Debug[2023-11-4 9:26:6]thread<4>,start
Debug[2023-11-4 9:26:7]thread<4>,Connect<begin=750, end=1000>
Debug[2023-11-4 9:26:7]thread<3>,Connect<begin=500, end=750>
Debug[2023-11-4 9:26:7]thread<2>,Connect<begin=250, end=500>
Debug[2023-11-4 9:26:7]thread<1>,Connect<begin=0, end=250>
Debug[2023-11-4 9:27:42]thread<4>,clients<1000>,time<1.014558>,send<9610>
Debug[2023-11-4 9:27:43]thread<4>,clients<1000>,time<1.003684>,send<9216>
Debug[2023-11-4 9:27:44]thread<4>,clients<1000>,time<1.003414>,send<9473>
Debug[2023-11-4 9:27:45]thread<4>,clients<1000>,time<1.011346>,send<9376>
Debug[2023-11-4 9:27:46]thread<4>,clients<1000>,time<1.013351>,send<9621>
Debug[2023-11-4 9:27:47]thread<4>,clients<1000>,time<1.000323>,send<9247>
Debug[2023-11-4 9:27:48]thread<4>,clients<1000>,time<1.005459>,send<9568>
Debug[2023-11-4 9:27:49]thread<4>,clients<1000>,time<1.005007>,send<9014>
Debug[2023-11-4 9:27:50]thread<4>,clients<1000>,time<1.000841>,send<9741>
Debug[2023-11-4 9:27:51]thread<4>,clients<1000>,time<1.001914>,send<9232>
Debug[2023-11-4 9:27:52]thread<4>,clients<1000>,time<1.003041>,send<9720>
Debug[2023-11-4 9:27:53]thread<4>,clients<1000>,time<1.013076>,send<9130>
Debug[2023-11-4 9:27:54]thread<4>,clients<1000>,time<1.000431>,send<9745>
Debug[2023-11-4 9:27:55]thread<4>,clients<1000>,time<1.011355>,send<9146>
Debug[2023-11-4 9:27:56]thread<4>,clients<1000>,time<1.003810>,send<9712>
Debug[2023-11-4 9:27:57]thread<4>,clients<1000>,time<1.002345>,send<9228>
Debug[2023-11-4 9:27:58]thread<4>,clients<1000>,time<1.012950>,send<9625>
Debug[2023-11-4 9:27:59]thread<4>,clients<1000>,time<1.014655>,send<9116>
Debug[2023-11-4 9:28:0]thread<4>,clients<1000>,time<1.004260>,send<9708>
Debug[2023-11-4 9:28:1]thread<4>,clients<1000>,time<1.014553>,send<9117>
Debug[2023-11-4 9:28:2]thread<4>,clients<1000>,time<1.011568>,send<9638>
Debug[2023-11-4 9:28:3]thread<4>,clients<1000>,time<1.000835>,send<9242>
Debug[2023-11-4 9:28:4]thread<4>,clients<1000>,time<1.004793>,send<9703>
Debug[2023-11-4 9:28:5]thread<4>,clients<1000>,time<1.004268>,send<9210>
Debug[2023-11-4 9:28:6]thread<4>,clients<1000>,time<1.000531>,send<9245>
Debug[2023-11-4 9:28:7]thread<4>,clients<1000>,time<1.013143>,send<9623>
Debug[2023-11-4 9:28:8]thread<4>,clients<1000>,time<1.012647>,send<9628>
Debug[2023-11-4 9:28:9]thread<4>,clients<1000>,time<1.014083>,send<9121>
Debug[2023-11-4 9:28:10]thread<4>,clients<1000>,time<1.007256>,send<9679>
Debug[2023-11-4 9:28:11]thread<4>,clients<1000>,time<1.001916>,send<9232>
Debug[2023-11-4 9:28:12]thread<4>,clients<1000>,time<1.002783>,send<9224>
Debug[2023-11-4 9:28:13]thread<4>,clients<1000>,time<1.004024>,send<9461>
Debug[2023-11-4 9:28:14]thread<4>,clients<1000>,time<1.003752>,send<9180>
Debug[2023-11-4 9:28:15]thread<4>,clients<1000>,time<1.002199>,send<9728>
Debug[2023-11-4 9:28:16]thread<4>,clients<1000>,time<1.000268>,send<9247>
Debug[2023-11-4 9:28:17]thread<4>,clients<1000>,time<1.001684>,send<9733>
Debug[2023-11-4 9:28:18]thread<4>,clients<1000>,time<1.002768>,send<9224>
Debug[2023-11-4 9:28:19]thread<4>,clients<1000>,time<1.001883>,send<9232>
Debug[2023-11-4 9:28:20]thread<4>,clients<1000>,time<1.012722>,send<9627>
Debug[2023-11-4 9:28:21]thread<4>,clients<1000>,time<1.000694>,send<9243>
Debug[2023-11-4 9:28:22]thread<4>,clients<1000>,time<1.003513>,send<9472>
Debug[2023-11-4 9:28:23]thread<4>,clients<1000>,time<1.002491>,send<9332>
Debug[2023-11-4 9:28:24]thread<4>,clients<1000>,time<1.010627>,send<9400>
Debug[2023-11-4 9:28:25]thread<4>,clients<1000>,time<1.010373>,send<9402>
Debug[2023-11-4 9:28:26]thread<4>,clients<1000>,time<1.012560>,send<9620>
Debug[2023-11-4 9:28:27]thread<4>,clients<1000>,time<1.013827>,send<9617>
Debug[2023-11-4 9:28:28]thread<4>,clients<1000>,time<1.003128>,send<9221>
Debug[2023-11-4 9:28:29]thread<4>,clients<1000>,time<1.001685>,send<9234>
Debug[2023-11-4 9:28:30]thread<4>,clients<1000>,time<1.001514>,send<9495>
Debug[2023-11-4 9:28:31]thread<4>,clients<1000>,time<1.002332>,send<9467>
Debug[2023-11-4 9:28:32]thread<4>,clients<1000>,time<1.001449>,send<9486>
Debug[2023-11-4 9:28:33]thread<4>,clients<1000>,time<1.013241>,send<9129>
Debug[2023-11-4 9:28:34]thread<4>,clients<1000>,time<1.013634>,send<9459>
Debug[2023-11-4 9:28:35]thread<4>,clients<1000>,time<1.000027>,send<9066>
Debug[2023-11-4 9:28:36]thread<4>,clients<1000>,time<1.011847>,send<9548>
Debug[2023-11-4 9:28:37]thread<4>,clients<1000>,time<1.000297>,send<9071>
Debug[2023-11-4 9:28:38]thread<4>,clients<1000>,time<1.014743>,send<9710>
Debug[2023-11-4 9:28:39]thread<4>,clients<1000>,time<1.000954>,send<9045>
Debug[2023-11-4 9:28:40]thread<4>,clients<1000>,time<1.002734>,send<9659>
Debug[2023-11-4 9:28:41]thread<4>,clients<1000>,time<1.000118>,send<9248>
Debug[2023-11-4 9:28:42]thread<4>,clients<1000>,time<1.003911>,send<9712>
Debug[2023-11-4 9:28:43]thread<4>,clients<1000>,time<1.000655>,send<9243>
Debug[2023-11-4 9:28:44]thread<4>,clients<1000>,time<1.009332>,send<9659>
Debug[2023-11-4 9:28:45]thread<4>,clients<1000>,time<1.014028>,send<9122>
Debug[2023-11-4 9:28:46]thread<4>,clients<1000>,time<1.001999>,send<9730>
Debug[2023-11-4 9:28:47]thread<4>,clients<1000>,time<1.004350>,send<9209>
Debug[2023-11-4 9:28:48]thread<4>,clients<1000>,time<1.005319>,send<9201>
Debug[2023-11-4 9:28:49]thread<4>,clients<1000>,time<1.014985>,send<9606>
Debug[2023-11-4 9:28:50]thread<4>,clients<1000>,time<1.013124>,send<9623>
Debug[2023-11-4 9:28:51]thread<4>,clients<1000>,time<1.003661>,send<9216>
Debug[2023-11-4 9:28:52]thread<4>,clients<1000>,time<1.004872>,send<9205>
Debug[2023-11-4 9:28:53]thread<4>,clients<1000>,time<1.014592>,send<9609>
Debug[2023-11-4 9:28:54]thread<4>,clients<1000>,time<1.001457>,send<9236>
Debug[2023-11-4 9:28:55]thread<4>,clients<1000>,time<1.013851>,send<9616>
Debug[2023-11-4 9:28:56]thread<4>,clients<1000>,time<1.002825>,send<9329>
Debug[2023-11-4 9:28:57]thread<4>,clients<1000>,time<1.011811>,send<9452>
Debug[2023-11-4 9:28:58]thread<4>,clients<1000>,time<1.000778>,send<9242>
Debug[2023-11-4 9:28:59]thread<4>,clients<1000>,time<1.003495>,send<9466>
Debug[2023-11-4 9:29:0]thread<4>,clients<1000>,time<1.004305>,send<9210>
Debug[2023-11-4 9:29:1]thread<4>,clients<1000>,time<1.005774>,send<9694>
Debug[2023-11-4 9:29:2]thread<4>,clients<1000>,time<1.002338>,send<9228>
Debug[2023-11-4 9:29:3]thread<4>,clients<1000>,time<1.010922>,send<9644>
Debug[2023-11-4 9:29:4]thread<4>,clients<1000>,time<1.000743>,send<9243>
Debug[2023-11-4 9:29:5]thread<4>,clients<1000>,time<1.000816>,send<9742>
Debug[2023-11-4 9:29:6]thread<4>,clients<1000>,time<1.003056>,send<9221>
Debug[2023-11-4 9:29:7]thread<4>,clients<1000>,time<1.001613>,send<9235>
Debug[2023-11-4 9:29:8]thread<4>,clients<1000>,time<1.009655>,send<9656>
Debug[2023-11-4 9:29:9]thread<4>,clients<1000>,time<1.006303>,send<9192>
Debug[2023-11-4 9:29:10]thread<4>,clients<1000>,time<1.002614>,send<9475>
Debug[2023-11-4 9:29:11]thread<4>,clients<1000>,time<1.003530>,send<9336>
Debug[2023-11-4 9:29:12]thread<4>,clients<1000>,time<1.006778>,send<9436>
Debug[2023-11-4 9:29:13]thread<4>,clients<1000>,time<1.000515>,send<9245>
Debug[2023-11-4 9:29:14]thread<4>,clients<1000>,time<1.001523>,send<9735>
Debug[2023-11-4 9:29:15]thread<4>,clients<1000>,time<1.000173>,send<9248>
Debug[2023-11-4 9:29:16]thread<4>,clients<1000>,time<1.002372>,send<9726>
Debug[2023-11-4 9:29:17]thread<4>,clients<1000>,time<1.001794>,send<8983>
Debug[2023-11-4 9:29:18]thread<4>,clients<1000>,time<1.004824>,send<9199>
Debug[2023-11-4 9:29:19]thread<4>,clients<1000>,time<1.007775>,send<9674>
Debug[2023-11-4 9:29:20]thread<4>,clients<1000>,time<1.010546>,send<9153>
Debug[2023-11-4 9:29:21]thread<4>,clients<1000>,time<1.006886>,send<9683>
Debug[2023-11-4 9:29:22]thread<4>,clients<1000>,time<1.002602>,send<9225>
Debug[2023-11-4 9:29:23]thread<4>,clients<1000>,time<1.000030>,send<9749>
Debug[2023-11-4 9:29:24]thread<4>,clients<1000>,time<1.002084>,send<9230>
Debug[2023-11-4 9:29:25]thread<4>,clients<1000>,time<1.003595>,send<9216>
Debug[2023-11-4 9:29:26]thread<4>,clients<1000>,time<1.000028>,send<9559>
Debug[2023-11-4 9:29:27]thread<4>,clients<1000>,time<1.012099>,send<9317>
Debug[2023-11-4 9:29:28]thread<4>,clients<1000>,time<1.014932>,send<9606>
Debug[2023-11-4 9:29:29]thread<4>,clients<1000>,time<1.013880>,send<9616>
Debug[2023-11-4 9:29:30]thread<4>,clients<1000>,time<1.016486>,send<9099>
Debug[2023-11-4 9:29:31]thread<4>,clients<1000>,time<1.011248>,send<9641>
Debug[2023-11-4 9:29:32]thread<4>,clients<1000>,time<1.001499>,send<9236>
Debug[2023-11-4 9:29:33]thread<4>,clients<1000>,time<1.014858>,send<9607>
Debug[2023-11-4 9:29:34]thread<4>,clients<1000>,time<1.000213>,send<9248>
Debug[2023-11-4 9:29:35]thread<4>,clients<1000>,time<1.004491>,send<9706>
Debug[2023-11-4 9:29:36]thread<4>,clients<1000>,time<1.001597>,send<9235>
Debug[2023-11-4 9:29:37]thread<4>,clients<1000>,time<1.015428>,send<9601>
